Facility Name,City,State,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison
FAIRVIEW LAKES HEALTH SERVICES,WYOMING,MN,(763) 389-6481,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
LAKE REGION HEALTHCARE CORPORATION,FERGUS FALLS,MN,(218) 736-8191,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
PARK NICOLLET METHODIST HOSPITAL,SAINT LOUIS PARK,MN,(952) 993-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
RIDGEVIEW MEDICAL CENTER,WACONIA,MN,(952) 442-2191,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
ABBOTT NORTHWESTERN HOSPITAL,MINNEAPOLIS,MN,(612) 863-4457,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
REGINA HOSPITAL,HASTINGS,MN,(651) 480-1000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
ST JOSEPH'S HOSPITAL,SAINT PAUL,MN,(651) 232-2725,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
GRAND ITASCA CLINIC AND HOSPITAL,GRAND RAPIDS,MN,(218) 326-3401,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
LAKEVIEW MEMORIAL HOSPITAL,STILLWATER,MN,(651) 430-4509,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
OWATONNA HOSPITAL,OWATONNA,MN,(507) 977-2323,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
DISTRICT ONE HOSPITAL,FARIBAULT,MN,(507) 334-6451,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average
ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,BRAINERD,MN,(218) 829-2861,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
BUFFALO HOSPITAL,BUFFALO,MN,(763) 682-1212,Acute Care Hospitals,Voluntary non-profit - Other,No,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
FAIRVIEW SOUTHDALE HOSPITAL,EDINA,MN,(952) 892-2101,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",MINNEAPOLIS,MN,(612) 672-6455,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
ESSENTIA HEALTH VIRGINIA,VIRGINIA,MN,(218) 741-3340,Acute Care Hospitals,Government - Local,No,3,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
CARRIS HEALTH LLC,WILLMAR,MN,(320) 235-4543,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
MAYO CLINIC HEALTH SYSTEM - MANKATO,MANKATO,MN,(507) 594-2646,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
SANFORD BEMIDJI MEDICAL CENTER,BEMIDJI,MN,(218) 751-5430,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average
ESSENTIA HEALTH ST MARYS - DETROIT LAKES,DETROIT LAKES,MN,(218) 847-0888,Acute Care Hospitals,Voluntary non-profit - Church,No,4,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
ST FRANCIS REGIONAL MEDICAL CENTER,SHAKOPEE,MN,(952) 428-3000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
REGIONS HOSPITAL,SAINT PAUL,MN,(651) 254-3456,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
MERCY HOSPITAL,COON RAPIDS,MN,(762) 236-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
FAIRVIEW NORTHLAND REGIONAL HOSPITAL,PRINCETON,MN,(763) 389-6481,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Not Available,Same as the national average,Above the national average,Above the national average,Same as the national average
MAYO CLINIC HEALTH SYSTEM - FAIRMONT,FAIRMONT,MN,(507) 238-8101,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
HUTCHINSON HEALTH,HUTCHINSON,MN,(320) 234-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
RED LAKE HOSPITAL A,REDLAKE,MN,(218) 679-3912,Acute Care Hospitals,Government - Federal,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FAIRVIEW RIDGES HOSPITAL,BURNSVILLE,MN,(952) 892-2101,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
HEALTHEAST ST JOHN'S HOSPITAL,MAPLEWOOD,MN,(651) 232-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
HEALTHEAST WOODWINDS HOSPITAL,WOODBURY,MN,(651) 232-2185,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
MAPLE GROVE HOSPITAL,MAPLE GROVE,MN,(763) 581-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
MAHNOMEN HEALTH CENTER,MAHNOMEN,MN,(218) 935-2511,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LAKEWOOD HEALTH CENTER,BAUDETTE,MN,(218) 634-2120,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SANFORD WESTBROOK MEDICAL CENTER,WESTBROOK,MN,(507) 274-1119,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SANFORD TRACY,TRACY,MN,(507) 629-8400,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SANFORD WHEATON MEDICAL CENTER,WHEATON,MN,(320) 563-8226,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RIVERWOOD HEALTHCARE CENTER,AITKIN,MN,(218) 927-5501,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Above the national average,Above the national average,Not Available
OLIVIA HOSPITAL & CLINIC,OLIVIA,MN,(320) 523-1261,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
LAKE VIEW MEMORIAL HOSPITAL,TWO HARBORS,MN,(218) 834-7300,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ESSENTIA HEALTH SANDSTONE,SANDSTONE,MN,(320) 245-5605,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RIDGEVIEW SIBLEY MEDICAL CENTER,ARLINGTON,MN,(507) 964-8415,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COOK HOSPITAL,COOK,MN,(218) 666-5945,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ESSENTIA HEALTH ADA,ADA,MN,(218) 784-5000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
JOHNSON MEMORIAL HOSPITAL,DAWSON,MN,(320) 769-4323,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SANFORD JACKSON MEDICAL CENTER,JACKSON,MN,(507) 847-2420,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BIGFORK VALLEY HOSPITAL,BIGFORK,MN,(218) 743-3177,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
NORTH SHORE HEALTH,GRAND MARAIS,MN,(218) 387-3040,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ELY BLOOMENSON COMMUNITY HOSPITAL,ELY,MN,(218) 365-8751,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MURRAY COUNTY MEMORIAL HOSPITAL,SLAYTON,MN,(507) 836-6111,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
RIVERVIEW HOSPITAL,CROOKSTON,MN,(218) 281-9200,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available
HOLY TRINITY HOSPITAL & GRACE HOME,GRACEVILLE,MN,(320) 748-8200,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RAINY LAKE MEDICAL CENTER,INTERNATIONAL FALLS,MN,(218) 283-4481,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MADELIA COMMUNITY HOSPITAL,MADELIA,MN,(507) 642-3255,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHIPPEWA COUNTY HOSPITAL,MONTEVIDEO,MN,(320) 269-8877,Critical Access Hospitals,Government - Local,Yes,2,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,LONG PRAIRIE,MN,(320) 732-2141,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available
SLEEPY EYE MEDICAL CENTER,SLEEPY EYE,MN,(507) 794-3571,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
SANFORD BAGLEY MEDICAL CENTER,BAGLEY,MN,(218) 694-6501,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LAKEWOOD HEALTH SYSTEM,STAPLES,MN,(218) 894-1515,Critical Access Hospitals,Voluntary non-profit - Other,Yes,4,Not Available,Not Available,Below the national average,Above the national average,Not Available
CENTRACARE HEALTH SYSTEM - MELROSE HOSPITAL,MELROSE,MN,(320) 256-1761,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
WINDOM AREA HEALTH,WINDOM,MN,(507) 831-2400,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
MAYO CLINIC HEALTH SYSTEM - ST JAMES,ST JAMES,MN,(507) 375-8601,Critical Access Hospitals,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
RIVER'S EDGE HOSPITAL & CLINIC,ST PETER,MN,(507) 934-7602,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
ST ELIZABETH MEDICAL CENTER,WABASHA,MN,(651) 565-4531,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
KITTSON MEMORIAL HOSPITAL,HALLOCK,MN,(218) 843-3612,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NORTH VALLEY HEALTH CENTER,WARREN,MN,(218) 745-4211,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MAYO CLINIC HEALTH SYSTEM - LAKE CITY,LAKE CITY,MN,(651) 345-5955,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HENDRICKS COMMUNITY HOSPITAL,HENDRICKS,MN,(507) 275-3134,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ESSENTIA HEALTH NORTHERN PINES MEDICAL CENTER,AURORA,MN,(218) 229-4222,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
APPLETON AREA HEALTH,APPLETON,MN,(320) 289-8508,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ORTONVILLE AREA HEALTH SERVICES,ORTONVILLE,MN,(320) 839-2505,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
AVERA GRANITE FALLS,GRANITE FALLS,MN,(320) 564-3111,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LIFECARE MEDICAL CENTER,ROSEAU,MN,(218) 463-2500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
MAYO CLINIC HEALTH SYSTEM - WASECA,WASECA,MN,(507) 835-1210,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MAYO CLINIC HEALTH SYSTEM - CANNON FALLS,CANNON FALLS,MN,(507) 263-6000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SANFORD CANBY MEDICAL CENTER,CANBY,MN,(507) 223-7277,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AVERA TYLER HOSPITAL,TYLER,MN,(507) 247-5521,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CENTRA CARE HEALTH PAYNESVILLE,PAYNESVILLE,MN,(320) 243-3779,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
ESSENTIA HEALTH MOOSE LAKE,MOOSE LAKE,MN,(218) 485-4481,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
"CARRIS HEALTH - REDWOOD, LLC",REDWOOD FALLS,MN,(507) 637-4500,Critical Access Hospitals,Government - Local,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
MAYO CLINIC HEALTH SYSTEM-SPRINGFIELD,SPRINGFIELD,MN,(507) 723-6201,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CUYUNA REGIONAL MEDICAL CENTER,CROSBY,MN,(218) 546-2300,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available
TRI COUNTY HOSPITAL,WADENA,MN,(218) 631-7489,Critical Access Hospitals,Voluntary non-profit - Other,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available
GLENCOE REGIONAL HEALTH SERVICES,GLENCOE,MN,(320) 864-3121,Critical Access Hospitals,Voluntary non-profit - Other,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
MILLE LACS HEALTH SYSTEM,ONAMIA,MN,(320) 532-3154,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average
ESSENTIA HEALTH FOSSTON,FOSSTON,MN,(218) 435-1133,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
CASS LAKE INDIAN HEALTH SERVICES HOSPITAL,CASS LAKE,MN,(218) 335-3205,Critical Access Hospitals,Government - Federal,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AVERA MARSHALL REGIONAL MEDICAL CTR,MARSHALL,MN,(507) 532-9661,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
DEER RIVER HEALTHCARE CENTER,DEER RIVER,MN,(218) 742-8662,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MAYO CLINIC HEALTH SYSTEM-NEW PRAGUE,NEW PRAGUE,MN,(952) 758-4431,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
CENTRACARE HEALTH - MONTICELLO,MONTICELLO,MN,(763) 295-2945,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
STEVENS COMMUNITY MEDICAL CENTER,MORRIS,MN,(320) 589-1313,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Not Available
COMMUNITY MEMORIAL HOSPITAL,CLOQUET,MN,(218) 879-4641,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
SWIFT COUNTY BENSON HOSPITAL,BENSON,MN,(320) 843-4232,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MEEKER MEMORIAL HOSPITAL,LITCHFIELD,MN,(320) 693-4507,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average
FIRSTLIGHT HEALTH SYSTEM,MORA,MN,(320) 679-1212,Critical Access Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
CENTRACARE HEALTH SYSTEM - SAUK CENTRE,SAUK CENTRE,MN,(320) 352-2221,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
UNITED HOSPITAL DISTRICT,BLUE EARTH,MN,(507) 526-3273,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
ST GABRIELS HOSPITAL,LITTLE FALLS,MN,(320) 632-5441,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Below the national average,Above the national average,Not Available
SANFORD LUVERNE MEDICAL CENTER,LUVERNE,MN,(507) 283-2321,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average
MADISON HOSPITAL,MADISON,MN,(320) 598-7536,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
PERHAM HEALTH,PERHAM,MN,(218) 347-1301,Critical Access Hospitals,Government - Hospital District or Authority,Yes,5,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average
PIPESTONE COUNTY  MEDICAL CENTER,PIPESTONE,MN,(507) 825-5811,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MINNESOTA VALLEY HEALTH CENTER  INC,LE SUEUR,MN,(507) 665-3375,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GLACIAL RIDGE HOSPITAL,GLENWOOD,MN,(320) 634-4521,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
ST FRANCIS MEDICAL CENTER,BRECKENRIDGE,MN,(218) 643-3000,Critical Access Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
NEW ULM MEDICAL CENTER,NEW ULM,MN,(507) 217-5000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES,ELBOW LAKE,MN,(218) 685-7300,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ST JOSEPHS AREA  HEALTH SERVICES,PARK RAPIDS,MN,(218) 732-3311,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
SANFORD MEDICAL CENTER THIEF RIVER FALLS,THIEF RIVER FALLS,MN,(218) 681-4240,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average
GILLETTE CHILDRENS SPECIALTY HOSPITAL,SAINT PAUL,MN,(651) 578-5611,Childrens,Government - Hospital District or Authority,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHILDREN'S HOSPITALS & CLINICS OF MN,MINNEAPOLIS,MN,(612) 813-6112,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ANOKA-METRO REG TREATMENT CTR,ANOKA,MN,(651) 431-5003,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CHILD & ADOLESCENT BEHAVIORAL HEALTH SERVICES,WILLMAR,MN,(320) 231-5405,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMMUNITY BEHAVIORAL HEALTH HOSPITAL ANNANDALE,ANNANDALE,MN,(651) 259-3850,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMM BEHAVIORAL HEALTH HOSP,ALEXANDRIA,MN,(320) 335-6201,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMMUNITY BEHAVIORAL HOSPITAL FERGUS FALLS,FERGUS FALLS,MN,(218) 332-5005,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMMUNITY BEHAVIORAL HEALTH HOSPITAL - BEMIDJI,BEMIDJI,MN,(218) 308-2401,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMMUNITY BEHAVIORAL HEALTH HOSPITAL - BAXTER,BAXTER,MN,(218) 316-3101,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMMUNITY BEHAVIORAL HEALTH HOSPITAL ROCHESTER,ROCHESTER,MN,(507) 206-2561,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SANFORD BEHAVIORAL HEALTH CENTER,THIEF RIVER FALLS,MN,(218) 681-4240,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNIVERSITY OF MISSISSIPPI MED CENTER,JACKSON,MS,(601) 984-4100,Acute Care Hospitals,Government - State,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average
TISHOMINGO HEALTH SERVICES INC,IUKA,MS,(662) 423-6051,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
NORTH MISSISSIPPI MEDICAL CENTER,TUPELO,MS,(662) 377-6608,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
BAPTIST MEMORIAL HOSPITAL UNION COUNTY,NEW ALBANY,MS,(662) 538-7631,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average
MERIT HEALTH BILOXI,BILOXI,MS,(228) 436-1104,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
MAGNOLIA REGIONAL HEALTH CENTER,CORINTH,MS,(662) 293-1000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average
ALLIANCE HEALTHCARE SYSTEM,HOLLY SPRINGS,MS,(662) 252-1212,Acute Care Hospitals,Physician,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Not Available
TRACE REGIONAL HOSPITAL AND SWING BED,HOUSTON,MS,(662) 456-3700,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
JASPER GENERAL HOSPITAL,BAY SPRINGS,MS,(601) 764-2101,Acute Care Hospitals,Government - Local,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MEMORIAL HOSPITAL AT GULFPORT,GULFPORT,MS,(228) 867-4000,Acute Care Hospitals,Government - Local,Yes,1,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
WEBSTER GENERAL HOSPITAL/ SWING BED,EUPORA,MS,(662) 258-6221,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average
NORTH MISSISSIPPI MEDICAL CENTER-GILMORE AMORY,AMORY,MS,(662) 256-7111,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
WINSTON MEDICAL CENTER & SWINGBED,LOUISVILLE,MS,(662) 779-5124,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Below the national average
MERIT HEALTH RIVER REGION,VICKSBURG,MS,(601) 883-5000,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
BAPTIST MEMORIAL HOSPITAL NORTH MS,OXFORD,MS,(662) 232-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
GEORGE REGIONAL HEALTH SYSTEM,LUCEDALE,MS,(601) 947-3161,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
MERIT HEALTH MADISON,CANTON,MS,(601) 855-4000,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
SINGING RIVER HEALTH SYSTEM,PASCAGOULA,MS,(228) 809-5000,Acute Care Hospitals,Government - Local,Yes,2,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
NORTHWEST MISSISSIPPI MEDICAL CENTER,CLARKSDALE,MS,(662) 627-3211,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average
